# 冃
U+5183	冃	⿵冂二

# hkcs_m5183
U+248FD	𤣽	⿰王冃

# hkcs_m5183-p03-s00
U+26012	𦀒	⿱冃紆
U+66FC	曼	⿳冃⺫又
U+34BE	㒾	⿱冃施
U+6700	最	⿱冃取
U+26407	𦐇	⿱冃羽
U+5195	冕	⿱冃免
U+5192	冒	⿱冃目
U+5194	冔	⿱冃吁
U+34BB	㒻	⿱冃見
U+34BF	㒿	⿱冃離
U+20570	𠕰	⿱冃爾
U+34BD	㒽	⿱冃卷
U+20564	𠕤	⿱冃兔
U+20566	𠕦	⿱冃兪
U+20560	𠕠	⿱冃成
U+20563	𠕣	⿱冃臽
U+20565	𠕥	⿱冃到
U+2056D	𠕭	⿱冃棹
U+20556	𠕖	⿱冃木

# hkcs_m5183-p04-s00
U+5191	冑	⿱由冃

# hkcs_m66fc
U+8513	蔓	⿱艹曼
U+9B18	鬘	⿱髟曼
U+20F26	𠼦	⿰口曼
U+25C91	𥲑	⿱竹曼
U+26514	𦔔	⿰耒曼
U+288A5	𨢥	⿰酉曼
U+2914D	𩅍	⿱雨曼
U+2E95D	𮥝	⿰阝曼

# hkcs_m66fc-p01-s00
U+2089D	𠢝	⿰曼力
U+9124	鄤	⿰曼阝
U+22FDC	𢿜	⿰曼攵
U+2305C	𣁜	⿰曼文
U+25017	𥀗	⿰曼皮
U+22FD5	𢿕	⿰曼攴

# hkcs_m66fc-p02-s00
U+50C8	僈	⿰亻曼
U+5881	墁	⿰土曼
U+5ADA	嫚	⿰女曼
U+5E54	幔	⿰巾曼
U+6162	慢	⿰忄曼
U+6471	摱	⿰扌曼
U+69FE	槾	⿰木曼
U+6F2B	漫	⿰氵曼
U+71B3	熳	⿰火曼
U+734C	獌	⿰犭曼
U+7E35	縵	⿰糸曼
U+87C3	蟃	⿰虫曼
U+8B3E	謾	⿰言曼
U+93DD	鏝	⿰金曼
U+9945	饅	⿰飠曼
U+9C3B	鰻	⿰魚曼
U+3EF4	㻴	⿰王曼
U+3FF8	㿸	⿰皮曼
U+417C	䅼	⿰禾曼
U+42A1	䊡	⿰米曼
U+4731	䜱	⿰谷曼
U+4762	䝢	⿰豸曼
U+47C2	䟂	⿺走曼
U+486C	䡬	⿰車曼
U+246D4	𤛔	⿰牛曼
U+25291	𥊑	⿰目曼
U+2771E	𧜞	⿰衤曼
U+28CA9	𨲩	⿰镸曼
U+299A7	𩦧	⿰馬曼
U+2B1DE	𫇞	⿰舟曼
U+2E77D	𮝽	⿰辛曼

# hkcs_m8513
U+2040E	𠐎	⿰亻蔓

# hkcs_m6f2b
U+4555	䕕	⿱艹漫

# hkcs_m7e35
