# 卯
U+536F	卯	⿰〓卩

# hkcs_m536f
U+5945	奅	⿱大卯
U+5CC1	峁	⿱山卯
U+6634	昴	⿱日卯
U+7A8C	窌	⿱穴卯
U+7B37	笷	⿱竹卯
U+8306	茆	⿱艹卯
U+20970	𠥰	⿷匸卯
U+26291	𦊑	⿱⺲卯
U+282D6	𨋖	⿰車卯
U+2909E	𩂞	⿱雨卯
U+295B4	𩖴	⿺風卯
U+2A54B	𪕋	⿺鼠卯

# hkcs_m536f-p02-s00
U+67F3	柳	⿰木卯
U+6CD6	泖	⿰氵卯
U+73CB	珋	⿰王卯
U+804A	聊	⿰耳卯
U+925A	鉚	⿰金卯
U+98F9	飹	⿰飠卯
U+99E0	駠	⿰馬卯
U+36B9	㚹	⿰女卯
U+387B	㡻	⿸广卯
U+39D5	㧕	⿰扌卯
U+3DAF	㶯	⿰火卯
U+4C56	䱖	⿰魚卯
U+201E9	𠇩	⿰亻卯
U+20C2D	𠰭	⿰口卯
U+212A7	𡊧	⿰土卯
U+25138	𥄸	⿰目卯
U+2E010	𮀐	⿰石卯

# hkcs_m536f-v01-p03-s00
U+7559	留	⿱卯田
U+8CBF	貿	⿱卯貝
U+2505A	𥁚	⿱卯皿

# hkcs_m536f-v01-p03-s01
U+2896B	𨥫	⿱卯金
U+296C1	𩛁	⿱卯食

# hkcs_m5945-p02-s00
U+23D90	𣶐	⿰氵奅
U+26750	𦝐	⿰⺼奅

# hkcs_m6634
U+28EB8	𨺸	⿰阝昴
U+29936	𩤶	⿰馬昴
U+29E61	𩹡	⿰魚昴
U+2ACBA	𪲺	⿰木昴

# hkcs_m8cbf
U+6A6E	橮	⿰木貿
U+912E	鄮	⿰貿阝

# Variants (丣/戼)
U+4E23	丣	丣
U+21623	𡘣	⿱大丣
U+24957	𤥗	⿰王丣
U+25979	𥥹	⿱穴丣
U+26BC4	𦯄	⿱艹丣
U+623C	戼	戼
U+687A	桺	⿰木戼
U+99F5	駵	⿰馬戼
U+231BB	𣆻	⿱日戼
U+25076	𥁶	⿱戼皿
U+2597A	𥥺	⿱穴戼
U+262BF	𦊿	⿱⺲戼
U+26BC6	𦯆	⿱艹戼
U+27D9D	𧶝	⿱戼貝
U+28321	𨌡	⿰車戼
U+29715	𩜕	⿱戼食
U+2A55A	𪕚	⿺鼠戼
U+27DBB	𧶻	⿱戼貝
U+287B5	𨞵	⿰𧶻阝

# Simplifications
U+94C6	铆	⿰钅卯
U+8D38	贸	⿱卯贝
U+2CA8D	𬪍	⿰贸阝
U+2CD98	𬶘	⿰鱼昴
