# 比
U+6BD4	比	⿰匕匕

# hkcs_m6bd4
U+5E87	庇	⿸广比
U+6BD6	毖	⿱比必
U+7B13	笓	⿱竹比
U+8298	芘	⿱艹比
U+2868D	𨚍	⿰比阝

# hkcs_m6bd4-p01-s00
U+3A7A	㩺	⿰比支
U+22EF9	𢻹	⿰比攵
U+24FCE	𤿎	⿰比皮

# hkcs_m6bd4-p02-s00
U+4EF3	仳	⿰亻比
U+5421	吡	⿰口比
U+59A3	妣	⿰女比
U+6279	批	⿰扌比
U+6787	枇	⿰木比
U+6BD7	毗	⿰田比
U+6C98	沘	⿰氵比
U+73AD	玭	⿰王比
U+75AA	疪	⿸疒比
U+7812	砒	⿰石比
U+79D5	秕	⿰禾比
U+7C83	粃	⿰米比
U+7D15	紕	⿰糸比
U+80B6	肶	⿰⺼比
U+822D	舭	⿰舟比
U+868D	蚍	⿰虫比
U+8C7C	豼	⿰豸比
U+921A	鈚	⿰金比
U+9630	阰	⿰阝比
U+9B6E	魮	⿰魚比
U+3629	㘩	⿰土比
U+401D	䀝	⿰目比
U+40FE	䃾	⿰示比
U+46B9	䚹	⿰言比
U+4A43	䩃	⿰面比
U+22066	𢁦	⿰巾比
U+225FD	𢗽	⿰忄比
U+23B08	𣬈	⿰囟比
U+2821A	𨈚	⿰身比
U+287F5	𨟵	⿰酉比
U+2926B	𩉫	⿰革比
U+29A28	𩨨	⿰骨比

# hkcs_m6bd4-p03-s00
U+6788	枈	⿱比木
U+7686	皆	⿱比白
U+7C8A	粊	⿱比米
U+3FEB	㿫	⿱比皮
U+4621	䘡	⿱比衣
U+2752F	𧔯	⿱比⿲虫虫虫
U+2753B	𧔻	⿱比蟲

# hkcs_m6bd4-p03-s01
U+6BDE	毞	⿱比毛

# hkcs_m6bd4-p04-s00
U+5C41	屁	⿸尸比
U+6606	昆	⿱日比
U+6BD8	毘	⿱田比
U+7435	琵	⿱玨比
U+23B09	𣬉	⿱囟比

# hkcs_m6bd4-p04-s01
U+3C8B	㲋	⿱〓比

# hkcs_m6bd4-p26-s00
U+9E7F	鹿	⿸〓比
U+9E83	麃	⿸鹿灬

# hkcs_m5e87-p02-s00
U+428C	䊌	⿰米庇
U+20CD3	𠳓	⿰口庇

# hkcs_m6bd7
U+25BE1	𥯡	⿱竹毗
U+2758E	𧖎	⿱毗⿲虫虫虫

# hkcs_m6c98
U+26D22	𦴢	⿱艹沘

# hkcs_m80b6
U+26C54	𦱔	⿱艹肶

# hkcs_m6788
U+28E7C	𨹼	⿰阝枈

# hkcs_m7686
U+5055	偕	⿰亻皆
U+52D3	勓	⿰皆力
U+7A2D	稭	⿰禾皆
U+8488	蒈	⿱艹皆
U+9D9B	鶛	⿰皆鳥
U+9FA4	龤	⿰龠皆
U+2D900	𭤀	⿰皆攵

# hkcs_m7686-p02-s00
U+5588	喈	⿰口皆
U+5826	堦	⿰土皆
U+5A98	媘	⿰女皆
U+63E9	揩	⿰扌皆
