# 至
U+81F3	至	⿱𠫔土

# hkcs_m81f3
U+5C4B	屋	⿸尸至
U+7A92	窒	⿱穴至
U+800A	耊	⿱耂至
U+800B	耋	⿱老至
U+834E	荎	⿱艹至
U+41EA	䇪	⿱竹至
U+2694A	𦥊	⿱孫至
U+28D17	𨴗	⿵門至
U+2C6F3	𬛳	⿱至至

# hkcs_m81f3-p01-s00
U+5230	到	⿰至刂
U+81F4	致	⿰至夂
U+26936	𦤶	⿰至夂
U+81F5	臵	⿰至各
U+81F6	臶	⿰至存
U+81F7	臷	⿹𢦏至
U+81F8	臸	⿰至至
U+81F9	臹	⿰至成
U+81FB	臻	⿰至秦
U+90C5	郅	⿰至阝
U+9D44	鵄	⿰至鳥
U+39B6	㦶	⿹戈至
U+4D8D	䶍	⿰至鼻
U+2694D	𦥍	⿰至夏
U+28FBD	𨾽	⿰至隹
U+29490	𩒐	⿰至頁
U+2B1D0	𫇐	⿰至亟
U+2C6F4	𬛴	⿰至泰

# hkcs_m81f3-p02-s00
U+4F84	侄	⿰亻至
U+5394	厔	⿸厂至
U+54A5	咥	⿰口至
U+57A4	垤	⿰土至
U+59EA	姪	⿰女至
U+5CCC	峌	⿰山至
U+604E	恎	⿰忄至
U+6303	挃	⿰扌至
U+664A	晊	⿰日至
U+684E	桎	⿰木至
U+6D37	洷	⿰氵至
U+7730	眰	⿰目至
U+796C	祬	⿰示至
U+79F7	秷	⿰禾至
U+7D70	絰	⿰糸至
U+81F8	臸	⿰至至
U+86ED	蛭	⿰虫至
U+8A88	誈	⿰言至
U+8DEE	跮	⿰𧾷至
U+8F0A	輊	⿰車至
U+928D	銍	⿰金至
U+99E4	駤	⿰馬至
U+462D	䘭	⿰衤至
U+4B39	䬹	⿰飠至
U+24947	𤥇	⿰王至
U+253B9	𥎹	⿰矢至
U+25493	𥒓	⿰石至
U+2A5A3	𪖣	⿰鼻至
U+2A5FB	𪗻	⿰齒至

# hkcs_m81f3-p02-s01
U+80F5	胵	⿰⺼至
U+2A012	𪀒	⿰鳥至

# hkcs_m81f3-p02-s02
U+75D3	痓	⿸疒至

# hkcs_m81f3-p0201-s00
U+81F4	致	⿰至夂
U+2C0BF	𬂿	⿲木至力

# hkcs_m81f3-p16-s00
U+5C4B	屋	⿸尸至
U+5EA2	庢	⿸广至

# hkcs_m81f3-p24-s00
U+5BA4	室	⿱宀至
U+81FA	臺	⿳吉冖至

# hkcs_m5c4b
U+7BBC	箼	⿱竹屋
U+28D71	𨵱	⿵門屋

# hkcs_m5c4b-p01-s00
U+526D	剭	⿰屋刂
U+268A1	𦢡	⿰屋脊
U+28718	𨜘	⿰屋阝
U+2A0EE	𪃮	⿰屋鳥
U+2B1C2	𫇂	⿰屋腦
U+2B96B	𫥫	⿰屋出
U+30383	𰎃	⿰屋多

# hkcs_m5c4b-p02-s00
U+5053	偓	⿰亻屋
U+5594	喔	⿰口屋
U+5A89	媉	⿰女屋
U+5E44	幄	⿰巾屋
U+63E1	握	⿰扌屋
U+6943	楃	⿰木屋
U+6E25	渥	⿰氵屋
U+815B	腛	⿰⺼屋
U+9F77	齷	⿰齒屋
U+4302	䌂	⿰糸屋
U+480E	䠎	⿰𧾷屋
U+257FD	𥟽	⿰禾屋
