# 門
U+9580	門		⿰𠁣𠃛

# Source Code Separation
U+95B2	閲	閱

# hkcs_m9580
U+554F	問	⿵門口
U+60B6	悶	⿵門心
U+711B	焛	⿵門火
U+805E	聞	⿵門耳
U+83DB	菛	⿱艹門
U+8ABE	誾	⿵門言
U+9581	閁	⿵門丿
U+9582	閂	⿵門一
U+9583	閃	⿵門人
U+9584	閄	⿰門人
U+9585	閅	⿵門丁
U+9586	閆	⿵門三
U+9587	閇	⿵門下
U+9588	閈	⿵門干
U+9589	閉	⿵門才
U+958A	閊	⿵門山
U+958B	開	⿵門⿱一廾
U+958C	閌	⿵門亢
U+958D	閍	⿵門方
U+958E	閎	⿵門厷
U+958F	閏	⿵門王
U+9590	閐	⿵門毛
U+9591	閑	⿵門木
U+9592	閒	⿵門月
U+9593	間	⿵門日
U+9594	閔	⿵門文
U+9595	閕	⿵門牙
U+9596	閖	⿵門水
U+9597	閗	⿵門斗
U+9598	閘	⿵門甲
U+959A	閚	⿵門立
U+959B	閛	⿵門平
U+959C	閜	⿵門可
U+959D	閝	⿵門令
U+959E	閞	⿵門弁
U+959F	閟	⿵門必
U+95A0	閠	⿵門玉
U+95A1	閡	⿵門亥
U+95A3	閣	⿵門各
U+95A4	閤	⿵門合
U+95A5	閥	⿵門伐
U+95A6	閦	⿵門众
U+95A7	閧	⿵門共
U+95A8	閨	⿵門圭
U+95A9	閩	⿵門虫
U+95AA	閪	⿵門西
U+95AB	閫	⿵門困
U+95AC	閬	⿵門良
U+95AD	閭	⿵門呂
U+95AE	閮	⿵門廷
U+95AF	閯	⿵門沙
U+95B0	閰	⿵門𦥑
U+95B1	閱	⿵門兌
U+95B3	閳	⿵門車
U+95B4	閴	⿵門貝
U+95B5	閵	⿵門隹
U+95B6	閶	⿵門昌
U+95B8	閸	⿵門亞
U+95B9	閹	⿵門奄
U+95BA	閺	⿵門旻
U+95BB	閻	⿵門臽
U+95BC	閼	⿵門於
U+95BD	閽	⿵門昏
U+95BE	閾	⿵門或
U+95BF	閿	⿵門受
U+95C0	闀	⿵門巷
U+95C1	闁	⿵門門
U+95C2	闂	⿵門卷
U+95C3	闃	⿵門狊
U+95C4	闄	⿵門要
U+95C5	闅	⿵門𥄎
U+95C6	闆	⿵門品
U+95C7	闇	⿵門音
U+95C8	闈	⿵門韋
U+95C9	闉	⿵門垔
U+95CA	闊	⿵門活
U+95CB	闋	⿵門癸
U+95CC	闌	⿵門柬
U+95CD	闍	⿵門者
U+95CE	闎	⿵門泉
U+95CF	闏	⿵門風
U+95D0	闐	⿵門眞
U+95D1	闑	⿵門臬
U+95D2	闒	⿵門𦐇
U+95D3	闓	⿵門豈
U+95D4	闔	⿵門盍
U+95D6	闖	⿵門馬
U+95D8	闘	⿵門𭔰
U+95D9	闙	⿵門啓
U+95DA	闚	⿵門規
U+95DB	闛	⿵門堂
U+95DC	關	⿵門𢇇
U+95DD	闝	⿵門敗
U+95DE	闞	⿵門敢
U+95DF	闟	⿵門翕
U+95E0	闠	⿵門貴
U+95E1	闡	⿵門單
U+95E2	闢	⿵門辟
U+95E4	闤	⿵門睘
U+95E5	闥	⿵門達
U+95E6	闦	⿵門豊
U+95E7	闧	⿵門遠
