# 骨
U+9AA8	骨	⿱冎⺼

# hkcs_m9aa8
U+84C7	蓇	⿱艹骨
U+4BE2	䯢	⿸麻骨
U+25412	𥐒	⿱短骨
U+29A58	𩩘	⿱於骨
U+29A8B	𩪋	⿱敖骨
U+29AA0	𩪠	⿸䧹骨
U+29AA1	𩪡	⿱殿骨
U+29ABE	𩪾	⿱䜌骨

# hkcs_m9aa8-p01-s00
U+985D	顝	⿰骨頁
U+9AA9	骩	⿰骨九
U+9AAB	骫	⿰骨丸
U+9AAC	骬	⿰骨于
U+9AAD	骭	⿰骨干
U+9AAE	骮	⿰骨弋
U+9AAF	骯	⿰骨亢
U+9AB0	骰	⿰骨殳
U+9AB1	骱	⿰骨介
U+9AB2	骲	⿰骨包
U+9AB3	骳	⿰骨皮
U+9AB4	骴	⿰骨此
U+9AB5	骵	⿰骨本
U+9AB6	骶	⿰骨氐
U+9AB7	骷	⿰骨古
U+9AB8	骸	⿰骨亥
U+9AB9	骹	⿰骨交
U+9ABA	骺	⿰骨后
U+9ABB	骻	⿰骨夸
U+9ABC	骼	⿰骨各
U+9ABD	骽	⿰骨妥
U+9ABE	骾	⿰骨更
U+9ABF	骿	⿰骨并
U+9AC0	髀	⿰骨卑
U+9AC1	髁	⿰骨果
U+9AC2	髂	⿰骨客
U+9AC3	髃	⿰骨禺
U+9AC6	髆	⿰骨尃
U+9AC7	髇	⿰骨高
U+9AC8	髈	⿰骨旁
U+9AC9	髉	⿰骨隺
U+9ACA	髊	⿰骨差
U+9ACD	髍	⿰骨麻
U+9ACE	髎	⿰骨翏
U+9ACF	髏	⿰骨婁
U+9AD0	髐	⿰骨堯
U+9AD1	髑	⿰骨蜀
U+9AD2	髒	⿰骨葬
U+9AD3	髓	⿰骨遀
U+9AD4	體	⿰骨豊
U+9AD5	髕	⿰骨賓
U+9AD6	髖	⿰骨寬
U+9AD7	髗	⿰骨盧
U+9DBB	鶻	⿰骨鳥
U+4BC6	䯆	⿰骨乚
