# 鳥
U+9CE5	鳥	⿹{hkcs-9ce5-c01}灬

# Variant
U+2B813	𫠓	鳥

# hkcs_m9ce5
U+9CE7	鳧	⿱鳥𠘧
U+3800	㠀	⿱鳥山
U+4CB7	䲷	⿱鳥木
U+4CC3	䳃	⿱鳥夗
U+4CD7	䳗	⿱鳥我
U+29FC9	𩿉	⿱鳥分
U+29FDC	𩿜	⿱卉鳥
U+2A068	𪁨	⿱鳥邑
U+2A09D	𪂝	⿱鳥東
U+2A0AD	𪂭	⿱鳥宛
U+2A236	𪈶	⿰鳥𣀦
U+2A23C	𪈼	⿱鳥𪅝

# hkcs_m9ce5-p01-s00
U+9125	鄥	⿰鳥阝
U+9CE6	鳦	⿰鳥𠃉
U+9CE8	鳨	⿰鳥力
U+9D03	鴃	⿰鳥夬
U+9D0F	鴏	⿰鳥代
U+9D15	鴕	⿰鳥它
U+9D1A	鴚	⿰鳥可
U+9D24	鴤	⿰鳥冬
U+9D25	鴥	⿰鳥穴
U+9D3C	鴼	⿰鳥各
U+9D4C	鵌	⿰鳥余
U+9D54	鵔	⿰鳥夋
U+9D66	鵦	⿰鳥彔
U+9D7B	鵻	⿰鳥隹
U+9D7F	鵿	⿰鳥昇
U+9D80	鶀	⿰鳥其
U+9D83	鶃	⿰鳥兒
U+9DB3	鶳	⿰鳥師
U+9DCC	鷌	⿰鳥馬
U+9DFB	鷻	⿰鳥敦
U+9E03	鸃	⿰鳥義
U+9E0C	鸌	⿰鳥蒦
U+9E14	鸔	⿰鳥暴
U+4CA6	䲦	⿰鳥大
U+4CAC	䲬	⿰鳥氏
U+4CB1	䲱	⿰鳥方
U+4CC0	䳀	⿰鳥失
U+4CC5	䳅	⿰鳥只
U+4CC8	䳈	⿰鳥包
U+4CD2	䳒	⿹𢦏鳥
U+4CD6	䳖	⿰鳥𦔮
U+4CD8	䳘	⿰鳥我
U+4CE7	䳧	⿰鳥侯
U+4CF6	䳶	⿰鳥奚
U+4CF9	䳹	⿰鳥寇
U+4CFC	䳼	⿰鳥區
U+4D0B	䴋	⿰鳥睘
U+207B8	𠞸	⿰鳥刂
U+29F92	𩾒	⿰鳥了
U+29F9D	𩾝	⿰鳥干
U+29FB4	𩾴	⿰鳥介
U+29FBD	𩾽	⿰鳥心
U+29FD0	𩿐	⿰鳥帀
U+29FD6	𩿖	⿰鳥勻
U+29FE1	𩿡	⿰鳥台
U+2A001	𪀁	⿰鳥加
U+2A002	𪀂	⿰鳥幼
U+2A007	𪀇	⿰鳥丕
U+2A00A	𪀊	⿰鳥句
U+2A00C	𪀌	⿰鳥甲
U+2A00D	𪀍	⿰鳥氐
U+2A00F	𪀏	⿰鳥巨
U+2A010	𪀐	⿰鳥乏
U+2A012	𪀒	⿰鳥至
U+2A013	𪀓	⿰鳥多
U+2A014	𪀔	⿰鳥寺
U+2A01A	𪀚	⿰鳥戎
U+2A020	𪀠	⿰鳥旬
U+2A024	𪀤	⿰鳥江
U+2A038	𪀸	⿰鳥式
U+2A044	𪁄	⿰鳥吉
U+2A046	𪁆	⿰鳥后
U+2A049	𪁉	⿰鳥交
U+2A052	𪁒	⿰鳥尨
U+2A057	𪁗	⿰鳥邑
U+2A069	𪁩	⿰鳥弟
U+2A06D	𪁭	⿰鳥甫
U+2A074	𪁴	⿰鳥谷
U+2A077	𪁷	⿰鳥𡶇
U+2A078	𪁸	⿰鳥羌
U+2A079	𪁹	⿰鳥非
U+2A083	𪂃	⿰鳥卑
U+2A08A	𪂊	⿰鳥陀
U+2A08B	𪂋	⿰鳥帚
U+2A08E	𪂎	⿰鳥享
U+2A09A	𪂚	⿰鳥坴
U+2A0AF	𪂯	⿰鳥姑
U+2A0B0	𪂰	⿰鳥底
U+2A0B1	𪂱	⿰鳥卓
U+2A0B3	𪂳	⿰鳥昆
U+2A0B4	𪂴	⿰鳥靑
U+2A0BF	𪂿	⿰鳥是
U+2A0C0	𪃀	⿰鳥咼
U+2A0C6	𪃆	⿰鳥奏
U+2A0D0	𪃐	⿰鳥眇
U+2A0D7	𪃗	⿰鳥宣
